A1:1
D10:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D20:1
D21:1
D22:1
D23:1
D34:1
D35:1
D36:1
D37:1
D38:1
D39:1
D40:1
D41:1
D42:1
D44:1
D45:1
G***:2
J1:1
J2:1
J3:1
J5:1
REF**:5
SW1:1
SW10:1
SW11:1
SW12:1
SW13:1
SW14:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
U1:1
